Time(Hr)  Gravity(mgal)
 0.33     0.250
 0.67     0.250
 1.00     0.250
 1.33     0.240
 1.67     0.240
 2.00     0.210
 2.33     0.210
 2.67     0.210
 3.00     0.200
 3.33     0.170
 3.67     0.200
 4.00     0.190
 4.33     0.190
 4.67     0.190
 5.00     0.210
 5.33     0.230
 5.67     0.230
 6.00     0.240
 6.33     0.250
 6.67     0.250
 7.00     0.260
 7.33     0.260
 7.67     0.270
 8.00     0.290
 8.33     0.300
 8.67     0.310
 9.00     0.300
 9.33     0.300
 9.67     0.310
10.00     0.300
10.33     0.290
10.67     0.280
11.00     0.270
11.33     0.250
11.67     0.240
12.00     0.230
12.33     0.200
12.67     0.180
13.00     0.170
13.33     0.140
13.67     0.120
14.00     0.110
14.33     0.100
14.67     0.100
15.00     0.080
15.33     0.060
15.67     0.060
16.00     0.050
16.33     0.050
16.67     0.070
17.00     0.070
17.33     0.070
17.67     0.090
18.00     0.100
18.33     0.105
18.67     0.120
19.00     0.150
19.33     0.180
19.67     0.190
20.00     0.210
20.33     0.230
20.67     0.250
21.00     0.265
21.33     0.270
21.67     0.290
22.00     0.305
22.33     0.310
22.67     0.325
23.00     0.325
23.33     0.325
23.67     0.325
24.00     0.325
24.33     0.325
24.67     0.310
25.00     0.310
25.33     0.300
25.67     0.290
26.00     0.290
26.33     0.280
26.67     0.280
27.00     0.270
27.33     0.260
27.67     0.260
28.00     0.260
28.33     0.250
28.67     0.260
29.00     0.260
29.33     0.280
29.67     0.290
30.00     0.290
30.33     0.310
30.67     0.320
31.00     0.330
31.33     0.330
31.67     0.350
32.00     0.350
32.33     0.350
32.67     0.360
33.00     0.380
33.33     0.390
33.67     0.380
34.00     0.380
34.33     0.380
34.67     0.380
35.00     0.360
35.33     0.350
35.67     0.340
36.00     0.330
36.33     0.310
36.67     0.305
37.00     0.300
37.33     0.270
37.67     0.250
38.00     0.230
38.33     0.210
38.67     0.195
39.00     0.190
39.33     0.180
39.67     0.170
40.00     0.150
40.33     0.160
40.67     0.170
41.00     0.180
41.33     0.180
41.67     0.180
42.00     0.190
42.33     0.195
42.67     0.200
43.00     0.225
43.33     0.250
43.67     0.250
44.00     0.280
44.33     0.290
44.67     0.320
45.00     0.330
45.33     0.340
45.67     0.360
46.00     0.375
46.33     0.390
46.67     0.410
47.00     0.410
47.33     0.410
