X-Loc(m)	Y-Loc(m)	time(min)	Field Strength(nT)	Base Station(nT)
-250.0	-250.0	0.5	51346.6		51347.3
-240.0	-250.0	1.0	51347.6		51349.2
-230.0	-250.0	1.5	51348.6		51350.0
-220.0	-250.0	2.0	51348.8		51349.9
-210.0	-250.0	2.5	51345.2		51348.8
-200.0	-250.0	3.0	51346.7		51347.4
-190.0	-250.0	3.5	51345.9		51346.0
-180.0	-250.0	4.0	51345.7		51348.6
-170.0	-250.0	4.5	51346.5		51346.7
-160.0	-250.0	5.0	51346.9		51348.9
-150.0	-250.0	5.5	51347.7		51348.4
-140.0	-250.0	6.0	51347.2		51349.1
-130.0	-250.0	6.5	51347.9		51348.8
-120.0	-250.0	7.0	51349.6		51349.7
-110.0	-250.0	7.5	51349.2		51350.9
-100.0	-250.0	8.0	51350.1		51350.5
-90.0	-250.0	8.5	51352.2		51348.8
-80.0	-250.0	9.0	51368.8		51347.7
-70.0	-250.0	9.5	51362.4		51352.4
-60.0	-250.0	10.0	51347.7		51350.6
-50.0	-250.0	10.5	51344.2		51347.7
-40.0	-250.0	11.0	51346.4		51350.0
-30.0	-250.0	11.5	51347.0		51347.2
-20.0	-250.0	12.0	51346.8		51347.9
-10.0	-250.0	12.5	51349.0		51349.8
0.0	-250.0	13.0	51348.4		51348.8
10.0	-250.0	13.5	51348.1		51349.1
20.0	-250.0	14.0	51347.1		51347.6
30.0	-250.0	14.5	51347.6		51348.4
40.0	-250.0	15.0	51347.4		51348.9
50.0	-250.0	15.5	51349.4		51349.9
60.0	-250.0	16.0	51347.8		51349.2
70.0	-250.0	16.5	51349.1		51349.6
80.0	-250.0	17.0	51349.2		51349.2
90.0	-250.0	17.5	51346.6		51347.9
100.0	-250.0	18.0	51346.1		51347.6
110.0	-250.0	18.5	51349.9		51350.1
120.0	-250.0	19.0	51347.1		51347.1
130.0	-250.0	19.5	51349.6		51350.7
140.0	-250.0	20.0	51350.2		51352.6
150.0	-250.0	20.5	51350.2		51351.7
160.0	-250.0	21.0	51346.9		51348.5
170.0	-250.0	21.5	51350.7		51352.2
180.0	-250.0	22.0	51351.7		51351.4
190.0	-250.0	22.5	51350.4		51351.1
200.0	-250.0	23.0	51349.4		51350.4
210.0	-250.0	23.5	51349.5		51348.8
220.0	-250.0	24.0	51348.0		51348.1
230.0	-250.0	24.5	51348.0		51347.7
240.0	-250.0	25.0	51346.7		51348.8
250.0	-250.0	25.5	51349.6		51351.5
-250.0	-225.0	26.0	51343.1		51344.8
-240.0	-225.0	26.5	51346.6		51349.3
-230.0	-225.0	27.0	51344.4		51347.0
-220.0	-225.0	27.5	51344.7		51347.4
-210.0	-225.0	28.0	51345.9		51348.1
-200.0	-225.0	28.5	51347.6		51349.6
-190.0	-225.0	29.0	51348.4		51349.2
-180.0	-225.0	29.5	51348.1		51351.5
-170.0	-225.0	30.0	51348.9		51350.6
-160.0	-225.0	30.5	51348.6		51350.7
-150.0	-225.0	31.0	51348.7		51350.1
-140.0	-225.0	31.5	51349.4		51351.0
-130.0	-225.0	32.0	51349.3		51349.1
-120.0	-225.0	32.5	51348.6		51350.5
-110.0	-225.0	33.0	51349.5		51350.4
-100.0	-225.0	33.5	51351.0		51348.3
-90.0	-225.0	34.0	51368.8		51356.0
-80.0	-225.0	34.5	51370.9		51352.7
-70.0	-225.0	35.0	51348.9		51351.0
-60.0	-225.0	35.5	51349.6		51350.5
-50.0	-225.0	36.0	51348.9		51351.7
-40.0	-225.0	36.5	51348.5		51351.3
-30.0	-225.0	37.0	51348.6		51352.2
-20.0	-225.0	37.5	51348.4		51347.7
-10.0	-225.0	38.0	51346.9		51349.0
0.0	-225.0	38.5	51349.7		51350.3
10.0	-225.0	39.0	51347.0		51349.9
20.0	-225.0	39.5	51348.0		51351.3
30.0	-225.0	40.0	51348.7		51349.3
40.0	-225.0	40.5	51349.2		51351.3
50.0	-225.0	41.0	51349.6		51349.6
60.0	-225.0	41.5	51350.1		51351.8
70.0	-225.0	42.0	51349.3		51351.7
80.0	-225.0	42.5	51346.6		51347.7
90.0	-225.0	43.0	51350.8		51351.3
100.0	-225.0	43.5	51349.4		51352.8
110.0	-225.0	44.0	51349.8		51350.5
120.0	-225.0	44.5	51347.2		51350.0
130.0	-225.0	45.0	51350.3		51353.5
140.0	-225.0	45.5	51349.1		51348.2
150.0	-225.0	46.0	51349.8		51349.7
160.0	-225.0	46.5	51348.3		51350.5
170.0	-225.0	47.0	51349.2		51350.8
180.0	-225.0	47.5	51348.2		51347.8
190.0	-225.0	48.0	51346.9		51349.8
200.0	-225.0	48.5	51348.9		51349.5
210.0	-225.0	49.0	51349.9		51350.2
220.0	-225.0	49.5	51350.3		51349.6
230.0	-225.0	50.0	51348.8		51351.0
240.0	-225.0	50.5	51351.6		51350.5
250.0	-225.0	51.0	51347.9		51349.1
-250.0	-200.0	51.5	51347.7		51350.2
-240.0	-200.0	52.0	51347.0		51347.6
-230.0	-200.0	52.5	51347.0		51349.0
-220.0	-200.0	53.0	51347.7		51350.9
-210.0	-200.0	53.5	51349.9		51350.2
-200.0	-200.0	54.0	51350.4		51350.9
-190.0	-200.0	54.5	51346.6		51350.4
-180.0	-200.0	55.0	51348.4		51350.2
-170.0	-200.0	55.5	51347.5		51348.9
-160.0	-200.0	56.0	51348.0		51348.5
-150.0	-200.0	56.5	51350.6		51351.8
-140.0	-200.0	57.0	51349.2		51349.3
-130.0	-200.0	57.5	51347.3		51349.3
-120.0	-200.0	58.0	51346.0		51344.2
-110.0	-200.0	58.5	51348.2		51346.1
-100.0	-200.0	59.0	51353.7		51350.5
-90.0	-200.0	59.5	51366.6		51347.4
-80.0	-200.0	60.0	51346.9		51348.3
-70.0	-200.0	60.5	51346.0		51348.8
-60.0	-200.0	61.0	51346.6		51349.5
-50.0	-200.0	61.5	51347.3		51349.7
-40.0	-200.0	62.0	51348.5		51350.1
-30.0	-200.0	62.5	51347.8		51349.6
-20.0	-200.0	63.0	51347.7		51348.2
-10.0	-200.0	63.5	51347.0		51347.1
0.0	-200.0	64.0	51347.6		51348.2
10.0	-200.0	64.5	51345.8		51348.5
20.0	-200.0	65.0	51345.9		51347.6
30.0	-200.0	65.5	51348.7		51348.3
40.0	-200.0	66.0	51346.7		51347.5
50.0	-200.0	66.5	51345.7		51347.5
60.0	-200.0	67.0	51343.6		51345.7
70.0	-200.0	67.5	51345.0		51344.2
80.0	-200.0	68.0	51343.6		51344.2
90.0	-200.0	68.5	51342.3		51342.9
100.0	-200.0	69.0	51345.4		51346.5
110.0	-200.0	69.5	51343.2		51345.2
120.0	-200.0	70.0	51344.7		51343.3
130.0	-200.0	70.5	51346.8		51347.7
140.0	-200.0	71.0	51345.2		51345.4
150.0	-200.0	71.5	51345.6		51345.7
160.0	-200.0	72.0	51346.6		51345.8
170.0	-200.0	72.5	51346.4		51347.6
180.0	-200.0	73.0	51343.4		51343.9
190.0	-200.0	73.5	51344.9		51343.9
200.0	-200.0	74.0	51345.3		51342.8
210.0	-200.0	74.5	51344.0		51344.7
220.0	-200.0	75.0	51342.4		51342.3
230.0	-200.0	75.5	51342.9		51343.2
240.0	-200.0	76.0	51346.2		51346.8
250.0	-200.0	76.5	51345.4		51345.1
-250.0	-175.0	77.0	51341.6		51342.1
-240.0	-175.0	77.5	51343.7		51345.4
-230.0	-175.0	78.0	51345.2		51348.4
-220.0	-175.0	78.5	51344.8		51345.6
-210.0	-175.0	79.0	51342.1		51341.1
-200.0	-175.0	79.5	51344.0		51344.2
-190.0	-175.0	80.0	51341.8		51343.8
-180.0	-175.0	80.5	51342.0		51343.5
-170.0	-175.0	81.0	51340.7		51341.7
-160.0	-175.0	81.5	51341.0		51342.0
-150.0	-175.0	82.0	51341.3		51341.5
-140.0	-175.0	82.5	51344.1		51345.5
-130.0	-175.0	83.0	51345.3		51345.2
-120.0	-175.0	83.5	51344.0		51344.7
-110.0	-175.0	84.0	51346.1		51342.6
-100.0	-175.0	84.5	51362.9		51342.9
-90.0	-175.0	85.0	51356.6		51344.2
-80.0	-175.0	85.5	51341.6		51343.8
-70.0	-175.0	86.0	51340.0		51342.3
-60.0	-175.0	86.5	51339.4		51342.5
-50.0	-175.0	87.0	51340.5		51343.5
-40.0	-175.0	87.5	51342.3		51345.0
-30.0	-175.0	88.0	51340.8		51342.0
-20.0	-175.0	88.5	51339.5		51342.1
-10.0	-175.0	89.0	51338.9		51339.7
0.0	-175.0	89.5	51342.2		51342.7
10.0	-175.0	90.0	51340.1		51340.5
20.0	-175.0	90.5	51340.6		51343.4
30.0	-175.0	91.0	51337.9		51340.3
40.0	-175.0	91.5	51337.4		51339.1
50.0	-175.0	92.0	51338.7		51338.6
60.0	-175.0	92.5	51339.2		51340.8
70.0	-175.0	93.0	51341.1		51341.9
80.0	-175.0	93.5	51336.6		51337.8
90.0	-175.0	94.0	51341.2		51342.4
100.0	-175.0	94.5	51341.5		51342.5
110.0	-175.0	95.0	51340.5		51340.3
120.0	-175.0	95.5	51340.0		51341.1
130.0	-175.0	96.0	51338.5		51340.9
140.0	-175.0	96.5	51340.8		51341.4
150.0	-175.0	97.0	51339.3		51340.0
160.0	-175.0	97.5	51341.5		51341.7
170.0	-175.0	98.0	51339.3		51338.6
180.0	-175.0	98.5	51338.8		51340.9
190.0	-175.0	99.0	51335.2		51335.7
200.0	-175.0	99.5	51338.3		51338.7
210.0	-175.0	100.0	51339.7		51341.3
220.0	-175.0	100.5	51340.9		51338.2
230.0	-175.0	101.0	51339.5		51339.2
240.0	-175.0	101.5	51339.9		51339.5
250.0	-175.0	102.0	51339.1		51337.5
-250.0	-150.0	102.5	51338.7		51339.9
-240.0	-150.0	103.0	51334.1		51340.3
-230.0	-150.0	103.5	51338.1		51337.8
-220.0	-150.0	104.0	51337.4		51339.5
-210.0	-150.0	104.5	51334.3		51336.3
-200.0	-150.0	105.0	51335.5		51337.7
-190.0	-150.0	105.5	51336.3		51336.5
-180.0	-150.0	106.0	51336.1		51337.3
-170.0	-150.0	106.5	51337.0		51334.3
-160.0	-150.0	107.0	51336.5		51335.6
-150.0	-150.0	107.5	51335.8		51334.7
-140.0	-150.0	108.0	51337.7		51340.1
-130.0	-150.0	108.5	51337.5		51337.8
-120.0	-150.0	109.0	51337.1		51336.6
