Time (hour)	Magnetic Field (nT)
0.016667	51350
0.033333	51349
0.05	51349
0.066667	51349
0.083333	51349
0.1	51349
0.116667	51350
0.133333	51350
0.15	51350
0.166667	51350
0.183333	51349
0.2	51349
0.216667	51349
0.233333	51349
0.25	51349
0.266667	51350
0.283333	51350
0.3	51349
0.316667	51350
0.333333	51350
0.35	51351
0.366667	51350
0.383333	51350
0.4	51350
0.416667	51349
0.433333	51349
0.45	51348
0.466667	51348
0.483333	51349
0.5	51350
0.516667	51350
0.533333	51350
0.55	51350
0.566667	51350
0.583333	51352
0.6	51352
0.616667	51351
0.633333	51351
0.65	51350
0.666667	51350
0.683333	51351
0.7	51351
0.716667	51350
0.733333	51351
0.75	51350
0.766667	51350
0.783333	51350
0.8	51350
0.816667	51350
0.833333	51351
0.85	51350
0.866667	51348
0.883333	51349
0.9	51350
0.916667	51350
0.933333	51350
0.95	51350
0.966667	51349
0.983333	51348
1	51348
1.016667	51348
1.033333	51349
1.05	51349
1.066667	51348
1.083333	51348
1.1	51348
1.116667	51347
1.133333	51346
1.15	51345
1.166667	51346
1.183333	51346
1.2	51346
1.216667	51346
1.233333	51345
1.25	51345
1.266667	51345
1.283333	51346
1.3	51344
1.316667	51346
1.333333	51345
1.35	51344
1.366667	51343
1.383333	51343
1.4	51344
1.416667	51344
1.433333	51344
1.45	51343
1.466667	51343
1.483333	51343
1.5	51342
1.516667	51341
1.533333	51340
1.55	51340
1.566667	51341
1.583333	51342
1.6	51341
1.616667	51341
1.633333	51341
1.65	51339
1.666667	51339
1.683333	51340
1.7	51340
1.716667	51340
1.733333	51339
1.75	51338
1.766667	51338
1.783333	51338
1.8	51337
1.816667	51338
1.833333	51337
1.85	51337
1.866667	51336
1.883333	51337
1.9	51336
1.916667	51337
1.933333	51336
1.95	51336
1.966667	51335
1.983333	51336
2	51335
2.016667	51335
2.033333	51335
2.05	51334
2.066667	51334
2.083333	51334
2.1	51334
2.116667	51333
2.133333	51333
2.15	51333
2.166667	51332
2.183333	51332
2.2	51331
2.216667	51330
2.233333	51330
2.25	51331
2.266667	51331
2.283333	51331
2.3	51330
2.316667	51331
2.333333	51330
2.35	51329
2.366667	51330
2.383333	51329
2.4	51329
2.416667	51329
2.433333	51329
2.45	51329
2.466667	51327
2.483333	51327
2.5	51326
2.516667	51326
2.533333	51326
2.55	51326
2.566667	51325
2.583333	51325
2.6	51325
2.616667	51325
2.633333	51326
2.65	51326
2.666667	51327
2.683333	51327
2.7	51325
2.716667	51327
2.733333	51327
2.75	51328
2.766667	51328
2.783333	51327
2.8	51328
2.816667	51328
2.833333	51327
2.85	51326
2.866667	51326
2.883333	51327
2.9	51326
2.916667	51326
2.933333	51326
2.95	51325
2.966667	51325
2.983333	51325
3	51325
3.016667	51325
3.033333	51323
3.05	51323
3.066667	51323
3.083333	51322
3.1	51322
3.116667	51323
3.133333	51323
3.15	51322
3.166667	51323
3.183333	51323
3.2	51323
3.216667	51325
3.233333	51324
3.25	51325
3.266667	51325
3.283333	51325
3.3	51326
3.316667	51326
3.333333	51325
3.35	51325
3.366667	51326
3.383333	51326
3.4	51325
3.416667	51325
3.433333	51325
3.45	51325
3.466667	51325
3.483333	51324
3.5	51325
3.516667	51324
3.533333	51325
3.55	51324
3.566667	51323
3.583333	51325
3.6	51324
3.616667	51323
3.633333	51323
3.65	51324
3.666667	51324
3.683333	51324
3.7	51323
3.716667	51323
3.733333	51325
3.75	51324
3.766667	51324
3.783333	51323
3.8	51323
3.816667	51323
3.833333	51323
3.85	51323
3.866667	51324
3.883333	51323
3.9	51323
3.916667	51323
3.933333	51323
3.95	51323
3.966667	51323
3.983333	51324
4	51323
4.016667	51323
4.033333	51323
4.05	51323
4.066667	51323
4.083333	51322
4.1	51323
4.116667	51323
4.133333	51324
4.15	51323
4.166667	51323
4.183333	51323
4.2	51323
4.216667	51322
4.233333	51322
4.25	51322
4.266667	51322
4.283333	51321
4.3	51321
4.316667	51321
4.333333	51322
4.35	51322
4.366667	51321
4.383333	51321
4.4	51321
4.416667	51321
4.433333	51321
4.45	51322
4.466667	51321
4.483333	51321
4.5	51322
4.516667	51321
4.533333	51322
4.55	51322
4.566667	51321
4.583333	51322
4.6	51322
4.616667	51322
4.633333	51322
4.65	51323
4.666667	51320
4.683333	51321
4.7	51321
4.716667	51321
4.733333	51321
4.75	51321
4.766667	51320
4.783333	51320
4.8	51319
4.816667	51320
4.833333	51320
4.85	51318
4.866667	51318
4.883333	51318
4.9	51317
4.916667	51317
4.933333	51316
4.95	51316
4.966667	51317
4.983333	51317
5	51316
5.016667	51316
5.033333	51316
5.05	51315
5.066667	51315
5.083333	51315
5.1	51315
5.116667	51315
5.133333	51315
5.15	51315
5.166667	51315
5.183333	51314
5.2	51314
5.216667	51313
5.233333	51313
5.25	51312
5.266667	51312
5.283333	51312
5.3	51313
5.316667	51311
5.333333	51312
5.35	51312
5.366667	51313
5.383333	51313
5.4	51314
5.416667	51314
5.433333	51316
5.45	51316
5.466667	51318
5.483333	51319
5.5	51319
5.516667	51320
5.533333	51320
5.55	51321
5.566667	51323
5.583333	51324
5.6	51325
5.616667	51326
5.633333	51326
5.65	51326
5.666667	51326
5.683333	51325
5.7	51326
5.716667	51326
5.733333	51328
5.75	51329
5.766667	51329
5.783333	51330
5.8	51330
5.816667	51331
5.833333	51334
5.85	51335
5.866667	51336
5.883333	51337
5.9	51338
5.916667	51339
5.933333	51340
5.95	51343
5.966667	51342
5.983333	51343
6	51342
6.016667	51344
6.033333	51345
6.05	51346
6.066667	51346
6.083333	51345
6.1	51344
6.116667	51343
6.133333	51343
6.15	51341
6.166667	51340
6.183333	51339
6.2	51338
6.216667	51337
6.233333	51335
6.25	51334
6.266667	51333
6.283333	51331
6.3	51330
6.316667	51328
6.333333	51328
6.35	51327
6.366667	51325
6.383333	51324
6.4	51324
6.416667	51325
6.433333	51323
6.45	51323
6.466667	51323
6.483333	51322
6.5	51323
6.516667	51322
6.533333	51323
6.55	51323
6.566667	51323
6.583333	51323
6.6	51323
6.616667	51324
6.633333	51325
6.65	51326
6.666667	51326
6.683333	51328
6.7	51329
6.716667	51331
6.733333	51332
6.75	51335
6.766667	51336
6.783333	51338
6.8	51339
6.816667	51340
6.833333	51340
6.85	51341
6.866667	51340
6.883333	51340
6.9	51341
6.916667	51342
6.933333	51342
6.95	51343
6.966667	51343
6.983333	51343
7	51343
7.016667	51343
7.033333	51343
7.05	51343
7.066667	51343
7.083333	51344
7.1	51342
7.116667	51344
7.133333	51345
7.15	51346
7.166667	51347
7.183333	51348
7.2	51348
7.216667	51350
7.233333	51350
7.25	51350
7.266667	51350
7.283333	51352
7.3	51352
7.316667	51351
7.333333	51350
7.35	51350
7.366667	51351
7.383333	51351
7.4	51351
7.416667	51351
7.433333	51351
7.45	51351
7.466667	51351
7.483333	51352
7.5	51352
7.516667	51350
7.533333	51350
7.55	51349
7.566667	51348
7.583333	51348
7.6	51346
7.616667	51347
7.633333	51346
7.65	51345
7.666667	51344
7.683333	51343
7.7	51343
7.716667	51342
7.733333	51340
7.75	51341
7.766667	51340
7.783333	51340
7.8	51339
7.816667	51340
7.833333	51339
7.85	51339
7.866667	51338
7.883333	51338
7.9	51338
7.916667	51338
7.933333	51338
7.95	51338
7.966667	51338
7.983333	51337
8	51338
8.016667	51337
8.033333	51337
8.05	51337
8.066667	51337
8.083333	51339
8.1	51339
8.116667	51340
8.133333	51340
8.15	51340
8.166667	51340
8.183333	51341
8.2	51342
8.216667	51341
8.233333	51341
8.25	51342
8.266667	51341
8.283333	51342
8.3	51341
8.316667	51341
8.333333	51340
8.35	51340
8.366667	51341
8.383333	51340
8.4	51338
8.416667	51339
8.433333	51338
8.45	51339
8.466667	51340
8.483333	51340
8.5	51340
8.516667	51340
8.533333	51341
8.55	51343
8.566667	51343
8.583333	51343
8.6	51344
8.616667	51344
8.633333	51344
8.65	51344
8.666667	51345
8.683333	51345
8.7	51346
8.716667	51346
8.733333	51346
8.75	51346
8.766667	51347
8.783333	51345
8.8	51346
8.816667	51346
8.833333	51346
8.85	51346
8.866667	51345
8.883333	51345
8.9	51344
8.916667	51343
8.933333	51343
8.95	51344
8.966667	51343
8.983333	51343
9	51343
9.016667	51343
9.033333	51343
9.05	51344
9.066667	51344
9.083333	51344
9.1	51344
9.116667	51345
9.133333	51345
9.15	51345
9.166667	51345
9.183333	51346
9.2	51347
9.216667	51348
9.233333	51348
9.25	51348
9.266667	51349
9.283333	51349
9.3	51349
9.316667	51350
9.333333	51350
9.35	51350
9.366667	51350
9.383333	51350
9.4	51349
9.416667	51349
9.433333	51350
9.45	51349
9.466667	51349
9.483333	51348
9.5	51347
9.516667	51347
9.533333	51346
9.55	51346
9.566667	51346
9.583333	51345
9.6	51345
9.616667	51346
9.633333	51345
9.65	51345
9.666667	51345
9.683333	51345
9.7	51345
9.716667	51345
9.733333	51345
9.75	51344
9.766667	51345
9.783333	51344
9.8	51344
9.816667	51344
9.833333	51344
9.85	51344
9.866667	51344
9.883333	51345
9.9	51344
9.916667	51344
9.933333	51344
9.95	51344
9.966667	51344
9.983333	51344
10	51343
10.016667	51344
10.033333	51345
10.05	51344
10.066667	51345
10.083333	51344
10.1	51345
10.116667	51345
10.133333	51345
10.15	51345
10.166667	51345
10.183333	51345
10.2	51345
10.216667	51345
10.233333	51346
10.25	51346
10.266667	51346
10.283333	51345
10.3	51345
10.316667	51345
10.333333	51345
10.35	51346
10.366667	51346
10.383333	51345
10.4	51347
10.416667	51346
10.433333	51346
10.45	51346
10.466667	51347
10.483333	51348
10.5	51346
10.516667	51347
10.533333	51347
