<%@ page language="java" contentType="text/dat" %>
ab/2	r g1	r g2	r g3	r g4
0.25	350.18	350.12	350.13	350.19
0.5	349.99	349.98	349.63	349.52
0.75	349.08	349.46	349.75	350.04
1.0	349.49	350.22	349.13	350.00
1.25	348.03	349.71	349.16	348.32
1.75	347.02	347.10	347.75	348.85
2.0	345.56	345.38	343.40	345.79
2.25	343.71	343.92	342.70	342.49
2.5	343.61	337.98	341.59	338.74
5.0	301.23	295.02	296.94	296.04
7.5	236.33	238.67	244.05	239.90
10.0	202.46	208.05	208.71	191.27
12.5	188.32	174.77	167.77	177.83
15.0	173.49	148.82	154.22	162.53
17.5	147.17	158.11	146.56	163.20
20.0	144.70	164.38	176.71	168.20
22.5	166.55	155.96	160.93	168.92
25.0	189.31	185.72	159.45	179.18
